Date,AAPL,MSFT,AMZN,GOOG,META,JPM,V,NVDA,NFLX,ORCL,INTC,AMD,IBM,CSCO,BA,GE,F,GM,QCOM,TXN,MU,LRCX,ADI,AVGO,TSM,ASML,NXPI,STX,PYPL,SHOP,COIN,TWLO,UBER,LYFT,DASH,ABNB,Z,PINS,SNAP,ETSY,EBAY,BABA,BIDU,JD,PDD,NTES,RBLX,PLTR,CRWD,OKTA,NET,ZS,PANW,SNOW,MDB,DDOG,DOCU,ZM,TEAM,CRM,NOW,WDAY,SAP,ADP,INTU,PAYC,ADBE,MS,GOOGL,WFC,BAC,C,GS,SCHW,T,VZ,TMUS,CMCSA,SIRI,TEF,NOK,ERIC,SONY,DELL,HPQ,LEN,LOW,HD,COST,WMT,TGT,XOM,CVX,BP,EOG,COP,SLB,HAL,TSLA,DIS,OXY,DVN,PSX,VLO,MPC,ALB
2022-01-03,178.87991333007812,325.6347961425781,170.4044952392578,144.39059448242188,336.9519958496094,146.99583435058594,216.01869201660156,30.06822395324707,597.3699951171875,83.57335662841797,49.350486755371094,150.24000549316406,118.38258361816406,56.774959564208984,207.86000061035156,59.02247619628906,17.267024993896484,59.47835159301758,173.15696716308594,173.45803833007812,93.83806610107422,71.69122314453125,167.03663635253906,61.81290817260742,121.47501373291016,775.2235107421875,218.176513671875,100.28336334228516,194.94000244140625,136.31399536132812,251.0500030517578,262.2900085449219,43.95000076293945,44.59000015258789,145.33999633789062,172.67999267578125,63.439998626708984,36.40999984741211,46.59000015258789,209.92999267578125,62.5590705871582,116.25657653808594,149.10000610351562,62.00297164916992,56.099998474121094,95.09172058105467,98.80999755859376,18.530000686645508,198.3300018310547,222.66000366210935,126.16000366210938,301.8299865722656,90.70166778564452,332.010009765625,487.55999755859375,163.8300018310547,157.00999450683594,184.2599945068359,350.4200134277344,253.64251708984375,630.1400146484375,263.7200012207031,133.44534301757812,227.88653564453125,617.2879028320312,399.0388793945313,564.3699951171875,89.30563354492188,144.30160522460938,46.59425354003906,42.412723541259766,55.51762771606445,362.7073669433594,81.91195678710938,15.41171646118164,41.99247360229492,111.90228271484376,45.81459426879883,60.70490264892578,3.5707693099975586,5.733656883239746,9.934531211853027,25.009742736816406,52.97270965576172,34.038089752197266,104.36714935302734,240.07127380371097,376.16058349609375,542.518310546875,46.076942443847656,211.8791046142578,56.641754150390625,105.02197265625,23.400299072265625,77.91192626953125,65.3731460571289,29.70269775390625,22.598691940307617,399.9266662597656,154.84706115722656,29.80254364013672,38.11519241333008,67.09461212158203,69.4827651977539,60.9272346496582,228.25970458984375
2022-01-04,176.60963439941406,320.05108642578125,167.52200317382812,143.7357177734375,334.95135498046875,152.56838989257812,217.02354431152344,29.238679885864254,591.1500244140625,84.46708679199219,49.28556060791016,144.4199981689453,120.10563659667967,55.38248825073242,213.6300048828125,60.942047119140625,19.28164291381836,63.92197036743164,174.10549926757812,173.64007568359375,94.41627502441406,70.36107635498047,165.52798461914062,62.52112579345703,125.81340789794922,757.4346313476562,219.73342895507812,102.81790161132812,191.13999938964844,122.18599700927734,250.1499938964844,251.0,44.41999816894531,44.95000076293945,135.91000366210938,170.8000030517578,62.25,33.130001068115234,44.029998779296875,200.9900054931641,61.00446319580078,115.46466827392578,146.52999877929688,58.25538635253906,49.81999969482422,92.21930694580078,95.1500015258789,18.170000076293945,189.19000244140625,215.0099945068359,114.95999908447266,281.5799865722656,87.33333587646484,315.5299987792969,465.3699951171875,157.75999450683594,154.44000244140625,179.85000610351562,334.989990234375,246.46397399902344,603.9400024414062,253.05999755859375,132.37892150878906,228.9512176513672,604.433349609375,386.1593017578125,554.0,92.9334945678711,143.71243286132812,48.44957733154297,44.075069427490234,55.94874572753906,373.8547058105469,85.92350006103516,15.538986206054688,42.81727600097656,111.54044342041016,45.5423698425293,58.891387939453125,3.5459721088409424,5.6971940994262695,9.88945484161377,25.463314056396484,54.376522064208984,35.094505310058594,105.0485382080078,244.11146545410156,380.0267028808594,540.144287109375,45.232810974121094,213.906982421875,58.77228546142578,106.93289947509766,24.409151077270508,81.49299621582031,68.20889282226562,31.14475440979004,23.955183029174805,383.1966552734375,153.8296356201172,32.028621673583984,39.86330032348633,69.6015853881836,70.71676635742188,62.92225646972656,233.9596710205078
2022-01-05,171.911865234375,307.7650146484375,164.35699462890625,137.0045928955078,322.64935302734375,149.7790985107422,214.6236267089844,27.55562973022461,567.52001953125,82.20423889160156,49.962608337402344,136.14999389648438,120.27964782714844,54.50540542602539,213.07000732421875,60.942047119140625,18.766090393066406,61.00493621826172,173.4266815185547,170.0179901123047,92.5150146484375,68.3658676147461,162.9727020263672,59.91934585571289,119.83395385742188,724.8504028320312,211.9016571044922,101.656982421875,187.16000366210935,119.0009994506836,234.22999572753903,235.19000244140625,43.2400016784668,43.59000015258789,127.97000122070312,162.25,58.34000015258789,32.84000015258789,41.33000183105469,188.3500061035156,60.39572525024414,117.0098648071289,143.8800048828125,57.18465042114258,48.529998779296875,90.19729614257812,88.54000091552734,16.959999084472656,179.2899932861328,198.58999633789065,105.9499969482422,262.3299865722656,84.1433334350586,296.8699951171875,428.7699890136719,145.52000427246094,144.1699981689453,174.8800048828125,311.6400146484375,226.05023193359375,572.760009765625,248.2599945068359,131.7277374267578,226.9992828369141,580.3663940429688,355.6800537109375,514.4299926757812,90.63375854492188,137.11944580078125,48.027069091796875,43.33114242553711,55.297664642333984,365.7350463867187,85.30265808105469,15.88443088531494,43.25769805908203,112.8117446899414,45.56959533691406,58.700496673583984,3.512909173965454,5.596924781799316,9.754230499267578,25.469255447387695,53.90237808227539,34.7990608215332,103.43370819091795,239.3572235107422,374.8718566894531,526.4451904296875,45.84441757202149,209.0565185546875,59.50326156616211,107.62860107421876,24.25526428222656,79.997314453125,67.03915405273438,31.14475440979004,23.71967887878418,362.7066650390625,153.29624938964844,30.52218246459961,38.98506164550781,69.3801040649414,70.43755340576172,63.321266174316406,227.2663116455078
2022-01-06,169.04205322265625,305.3330078125,163.25399780273438,136.90257263183594,330.9004211425781,151.370361328125,214.37974548339844,28.128623962402344,553.2899780273438,82.39508819580078,50.09245681762695,136.22999572753906,117.77345275878906,55.08409881591797,211.33999633789065,61.297760009765625,19.40061378479004,61.13134002685547,172.9152374267578,169.9634246826172,93.74005889892578,69.36397552490234,163.4912872314453,59.3630256652832,121.16378021240234,741.8131713867188,214.1568298339844,99.59210968017578,192.27000427246097,116.89299774169922,234.0,238.6499938964844,42.029998779296875,43.599998474121094,137.27999877929688,159.75,57.34000015258789,32.689998626708984,41.68000030517578,196.9499969482422,62.56844329833984,122.29249572753906,150.75,60.59648895263672,52.130001068115234,91.86026763916016,89.19999694824219,16.739999771118164,187.4900054931641,202.22000122070312,104.04000091552734,260.2099914550781,88.8183364868164,297.0899963378906,429.6799926757813,143.88999938964844,143.10000610351562,176.3300018310547,313.75,227.5196990966797,574.0399780273438,250.6300048828125,129.283447265625,225.43963623046875,573.2205200195312,351.6299743652344,514.1199951171875,92.18474578857422,137.09207153320312,49.25783157348633,44.203643798828125,57.110130310058594,364.17529296875,86.66849517822266,15.823829650878906,43.04949569702149,113.01710510253906,45.832733154296875,59.08229446411133,3.5873007774353027,5.57869291305542,9.727185249328612,24.383853912353516,53.95816421508789,34.62896728515625,100.8760986328125,242.2135467529297,373.5094604492187,526.330322265625,45.71699905395508,211.33102416992188,60.9028205871582,108.54441833496094,24.631444931030273,81.6382827758789,69.55589294433594,31.884506225585938,24.12474250793457,354.8999938964844,154.9853515625,31.43371963500977,40.4571418762207,71.29356384277344,72.20299530029297,65.09359741210938,225.0866241455078
2022-01-07,169.20913696289062,305.4887390136719,162.5540008544922,136.358642578125,330.23358154296875,152.87017822265625,211.657958984375,27.199256896972656,541.0599975585938,83.51165008544922,49.56380462646485,132.0,117.32965087890624,55.273983001708984,215.5,62.187015533447266,19.38475227355957,60.54793930053711,167.76361083984375,163.30174255371094,92.56401824951172,66.14041137695312,159.20106506347656,57.696834564208984,116.47640991210938,734.9891357421875,208.8444366455078,98.33370208740234,187.6000061035156,114.447998046875,232.3300018310547,230.1999969482422,41.5099983215332,43.099998474121094,132.27000427246094,166.0500030517578,56.68000030517578,32.41999816894531,41.36000061035156,185.1499938964844,62.10954284667969,125.36356353759766,153.3300018310547,61.92130661010742,55.900001525878906,94.2129898071289,84.37000274658203,16.559999465942383,188.9900054931641,196.6699981689453,107.0,261.5299987792969,87.5816650390625,299.67999267578125,429.6300048828125,143.7899932861328,135.92999267578125,171.60000610351562,303.7099914550781,226.68568420410156,566.3900146484375,250.2400054931641,130.48199462890625,223.05816650390625,555.4575805664062,350.61492919921875,510.7000122070313,92.74630737304688,136.36505126953125,50.304893493652344,45.16798782348633,57.87558364868164,364.7074890136719,87.6236343383789,16.36441993713379,43.9571647644043,107.3158721923828,45.415340423583984,59.177734375,3.628628730773926,5.56046199798584,9.952559471130373,24.62153434753418,53.91167449951172,34.60211181640625,96.096923828125,235.9183349609375,362.32513427734375,513.291748046875,46.15338897705078,210.81036376953125,61.40201568603515,110.10311889648438,25.36671257019043,83.8946304321289,71.461181640625,32.802188873291016,24.51096534729004,342.32000732421875,155.9040069580078,31.865501403808594,40.8920783996582,72.60462188720703,72.95960998535156,65.8173828125,227.63278198242188
2022-01-10,169.22882080078125,305.7124938964844,161.48599243164062,137.92074584960938,326.5310363769531,153.01651000976562,206.78988647460935,27.35198974609375,539.8499755859375,85.20075225830078,51.20541763305664,132.0,117.50367736816406,55.89788818359375,209.30999755859375,60.97272109985352,18.91679000854492,59.38111877441406,167.084716796875,166.5052032470703,92.01519775390624,65.64630126953125,160.67198181152344,57.88414001464844,117.90055084228516,706.866943359375,209.31625366210935,101.39997100830078,182.9499969482422,113.11699676513672,225.0099945068359,227.52000427246097,42.599998474121094,44.130001068115234,133.4499969482422,160.7100067138672,56.540000915527344,32.70000076293945,41.709999084472656,183.7100067138672,60.47065353393555,123.90528869628906,152.36000061035156,63.155372619628906,56.9900016784668,94.5814971923828,85.5199966430664,16.5,192.5,201.2400054931641,110.75,275.6499938964844,87.10166931152344,302.7300109863281,435.0,146.3300018310547,136.22999572753906,172.55999755859375,312.9800109863281,227.99630737304688,572.0,252.30999755859375,130.8123016357422,217.50131225585935,558.0313720703125,358.71514892578125,525.8300170898438,92.8176040649414,138.00967407226562,50.837615966796875,44.938385009765625,58.095550537109375,366.2304992675781,87.53766632080078,16.470237731933594,43.65731048583984,103.40423583984376,45.8418083190918,59.75041961669922,3.711285352706909,5.624270915985107,10.042710304260254,24.395740509033203,55.66876983642578,34.879642486572266,97.10503387451172,232.7238311767578,356.6639404296875,496.6536865234375,46.064208984375,207.7410888671875,61.03654479980469,110.1735610961914,25.27266502380371,83.80915069580078,71.8067626953125,32.8864631652832,24.3508243560791,352.7066650390625,154.6890411376953,31.069107055664062,40.56587600708008,74.28775024414062,72.98664093017578,65.3719711303711,218.90440368652344
2022-01-11,172.06906127929688,306.40313720703125,165.36199951171875,139.35743713378906,332.801513671875,153.17198181152344,209.1409912109375,27.76825714111328,540.8400268554688,84.43732452392578,51.85464096069336,137.30999755859375,115.62403869628906,56.39519119262695,216.02000427246097,62.42619705200195,19.31336784362793,59.76033020019531,172.40377807617188,168.03408813476562,92.31901550292967,66.52778625488281,163.7176055908203,57.967079162597656,121.8239517211914,708.8013916015625,214.70411682128903,99.0072250366211,191.52000427246097,115.7310028076172,237.22999572753903,234.17999267578125,43.619998931884766,44.5,143.63999938964844,168.61000061035156,58.349998474121094,34.0,43.310001373291016,182.80999755859375,62.21257400512695,127.66204833984376,156.6999969482422,69.65239715576172,60.02000045776367,97.92633056640624,89.04000091552734,16.889999389648438,196.11000061035156,207.97999572753903,114.13999938964844,277.5299987792969,87.67500305175781,301.2699890136719,443.7900085449219,148.60000610351562,142.1300048828125,175.97000122070312,314.95001220703125,233.1692352294922,578.4400024414062,255.72000122070312,130.982177734375,219.73336791992188,566.3795166015625,361.8488159179687,529.8900146484375,94.41314697265624,139.0710906982422,51.48973083496094,45.1955451965332,59.04576110839844,369.790283203125,89.69625854492188,16.39554214477539,43.430397033691406,108.51871490478516,46.40439224243164,60.3231086730957,3.719550848007202,5.6880784034729,10.204980850219728,25.01964569091797,56.012733459472656,35.08555221557617,100.5587387084961,234.4244384765625,355.9367370605469,499.7457885742187,45.9336051940918,207.85983276367188,63.60386276245117,112.69210815429688,26.110525131225582,87.34748840332031,74.07535552978516,34.159976959228516,25.66020965576172,354.79998779296875,155.96327209472656,33.2951774597168,41.6532096862793,76.31636047363281,75.52669525146484,67.45051574707031,231.6353302001953
2022-01-12,172.51138305664062,309.60357666015625,165.20700073242188,140.98023986816406,331.6966857910156,154.040771484375,210.4384765625,27.949941635131836,537.219970703125,84.27507781982422,51.69697570800781,137.47000122070312,116.25060272216795,56.16913986206055,217.4499969482422,62.70217514038086,19.40854835510254,59.34222030639648,173.352294921875,169.29905700683594,93.21085357666016,67.82334899902344,163.8307647705078,57.96241760253906,124.7099380493164,721.4481201171875,216.1006317138672,100.34539031982422,187.1999969482422,116.8759994506836,234.6999969482422,227.11000061035156,43.040000915527344,42.380001068115234,140.66000366210938,169.5399932861328,57.06999969482422,34.43000030517578,42.72999954223633,178.05999755859375,60.23651885986328,132.7032470703125,159.36000061035156,69.32572937011719,60.380001068115234,100.16568756103516,89.05999755859375,16.719999313354492,187.97000122070312,213.92999267578125,113.97000122070312,273.9800109863281,88.66999816894531,307.1400146484375,432.489990234375,146.3300018310547,139.25,170.64999389648438,320.5899963378906,236.1379547119141,573.3900146484375,257.9599914550781,132.2656707763672,219.1263732910156,564.95068359375,352.85186767578125,532.3699951171875,91.85492706298828,140.75755310058594,51.802005767822266,44.87408828735352,59.19532775878906,358.10162353515625,90.56542205810548,16.464012145996094,43.316932678222656,108.40135955810548,46.23199462890625,60.418556213378906,3.719550848007202,5.551346778869629,10.28611660003662,25.18404197692871,55.73383712768555,34.90650177001953,100.75475311279295,235.5707244873047,358.44976806640625,503.3548278808594,45.69151306152344,205.04635620117188,63.41666030883789,112.1285171508789,26.6662540435791,87.83464813232422,74.7931900024414,34.13188552856445,25.84861183166504,368.739990234375,155.8743896484375,33.3431510925293,41.73685073852539,76.44924926757812,75.9950942993164,67.81240844726562,232.50332641601562
2022-01-13,169.22882080078125,296.500244140625,161.21400451660156,138.47512817382812,324.9485168457031,153.84869384765625,209.74581909179688,26.52843856811523,519.2000122070312,83.77885437011719,50.95500564575195,132.74000549316406,117.26873779296876,55.60853576660156,223.8999938964844,62.83711242675781,19.844785690307617,60.061767578125,170.99964904785156,167.58815002441406,93.71066284179688,67.86781311035156,160.08738708496094,55.650447845458984,131.2741241455078,709.69580078125,209.3445281982422,98.22735595703124,181.0099945068359,106.43599700927734,228.22999572753903,217.16000366210935,42.869998931884766,42.599998474121094,131.77999877929688,166.0,56.599998474121094,32.970001220703125,38.380001068115234,166.8000030517578,59.26254653930664,126.87013244628906,152.50999450683594,64.82500457763672,57.619998931884766,95.5925064086914,80.18000030517578,16.010000228881836,174.89999389648438,202.0,98.9800033569336,250.47000122070312,83.0999984741211,291.760009765625,390.8299865722656,135.1300048828125,130.58999633789062,162.10000610351562,298.6499938964844,227.00341796875,521.260009765625,249.41000366210935,128.2642059326172,216.6047210693359,541.1297607421875,337.55804443359375,516.9000244140625,91.40925598144533,137.92758178710938,51.43461990356445,44.782249450683594,59.63524627685547,358.5511474609375,89.19001770019531,16.681875228881836,43.37366485595703,107.68749237060548,46.53142929077149,60.70490264892578,3.7360823154449463,5.3690361976623535,10.241040229797363,24.718585968017575,55.9383659362793,34.64686965942383,101.31480407714844,235.55191040039065,356.2221374511719,494.8156433105469,46.33815383911133,206.2886505126953,62.9620361328125,111.66181182861328,26.69190216064453,87.81744384765625,74.1019515991211,33.869686126708984,26.31019401550293,343.85333251953125,153.54319763183594,32.76744842529297,41.519378662109375,76.87445068359375,75.08535766601562,67.8495101928711,226.870849609375
2022-01-14,170.09365844726562,301.7532958984375,162.13800048828125,139.1275177001953,330.3431396484375,144.39263916015625,209.4238739013672,26.89478874206543,525.6900024414062,83.68341827392578,51.659881591796875,136.8800048828125,116.7901382446289,55.48195266723633,225.9600067138672,63.26639938354492,19.97961807250977,59.410282135009766,175.46316528320312,170.19091796875,95.41590118408205,72.1220932006836,162.1806640625,55.57402420043945,132.6605224609375,723.7422485351562,212.58103942871097,96.77397918701172,178.4199981689453,110.29100036621094,230.02999877929688,215.16000366210935,41.5099983215332,41.2599983215332,131.52999877929688,163.99000549316406,55.349998474121094,32.83000183105469,38.040000915527344,163.6999969482422,59.4217529296875,127.06328582763672,154.52999877929688,66.89388275146484,60.40999984741211,97.66178131103516,79.05000305175781,16.010000228881836,176.6999969482422,204.41000366210935,100.29000091552734,254.7400054931641,83.18499755859375,289.5899963378906,396.8900146484375,138.27999877929688,130.44000244140625,159.72000122070312,297.3900146484375,229.58493041992188,531.02001953125,254.30999755859375,131.0859832763672,213.6348876953125,539.0451049804688,329.1227722167969,520.5999755859375,88.13795471191406,138.8168182373047,53.32667541503906,44.0015983581543,58.88739776611328,349.50482177734375,91.2435531616211,16.918405532836914,43.17916488647461,106.12281799316406,46.8943977355957,58.986839294433594,3.7856764793396,5.4054975509643555,10.241040229797363,24.71660804748535,56.273048400878906,34.39619445800781,100.96011352539062,228.69300842285156,342.43280029296875,481.5185241699219,46.20754623413086,202.2420196533203,64.0674057006836,113.5639190673828,27.39297103881836,90.94271850585938,76.8668212890625,35.4053955078125,27.07321548461914,349.8699951171875,150.0858917236328,34.072383880615234,42.14668655395508,78.46898651123047,76.74270629882812,69.35275268554688,225.36630249023438
